선수명,생년월일,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
최형우,1983-12-16,2016,삼성,33,LF,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,0.376,0.464,0.651,1.116,0.480,177.8,7.75,5.50
최형우,1983-12-16,2017,KIA,34,LF,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.450,0.576,1.026,0.442,163.5,6.65,5.45
최형우,1983-12-16,2018,KIA,35,LF,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.411,143.4,4.94,5.70
최형우,1983-12-16,2019,KIA,36,DH,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,0.300,0.413,0.485,0.897,0.406,149.4,4.10,3.05
최형우,1983-12-16,2020,KIA,37,DH,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.590,1.023,0.450,169.6,5.77,7.20
최형우,1983-12-16,2021,KIA,38,DH,104,446,373,52,87,15,1,12,140,55,0,0,67,4,10,67,9,0,2,0.233,0.354,0.375,0.730,0.339,99.8,0.20,1.38
최형우,1983-12-16,2022,KIA,39,DH,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.361,123.3,2.29,1.16
최형우,1983-12-16,2023,KIA,40,DH,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.400,0.487,0.887,0.408,153.6,3.66,4.06
서건창,1989-08-22,2014,넥센,25,2B,128,616,543,135,201,41,17,7,297,67,48,17,59,8,0,47,1,4,2,0.370,0.438,0.547,0.985,0.437,150.9,7.63,5.80
서건창,1989-08-22,2015,넥센,26,2B,85,368,312,52,93,24,4,3,134,37,9,2,42,1,0,24,7,11,2,0.298,0.381,0.429,0.810,0.359,105.8,1.51,2.35
서건창,1989-08-22,2016,넥센,27,2B,140,646,560,111,182,30,7,7,247,63,26,13,69,10,2,58,6,3,4,0.325,0.406,0.441,0.847,0.389,116.6,4.46,4.17
서건창,1989-08-22,2017,넥센,28,2B,139,615,539,87,179,28,3,6,231,76,15,6,67,1,1,68,11,2,6,0.332,0.403,0.429,0.832,0.378,118.3,4.20,3.38
서건창,1989-08-22,2018,넥센,29,DH,37,160,141,28,48,12,0,0,60,15,2,0,12,3,0,19,1,2,2,0.340,0.399,0.426,0.824,0.369,112.0,0.66,1.21
서건창,1989-08-22,2019,키움,30,2B,113,486,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.300,0.373,0.383,0.755,0.352,112.9,2.36,0.10
서건창,1989-08-22,2020,키움,31,DH,135,595,484,79,134,28,5,5,187,52,24,10,91,5,1,58,8,5,10,0.277,0.390,0.386,0.776,0.361,111.4,2.18,1.19
서건창,1989-08-22,2021,"키움,LG",32,2B,144,599,512,78,130,24,2,6,176,52,12,4,69,9,2,77,14,5,4,0.254,0.350,0.344,0.694,0.331,94.8,2.83,0.14
서건창,1989-08-22,2022,LG,33,2B,77,247,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.285,73.4,0.28,-1.75
서건창,1989-08-22,2023,LG,34,2B,38,113,97,14,20,5,2,0,29,12,3,3,10,0,0,11,5,3,3,0.206,0.273,0.299,0.572,0.263,53.5,-0.30,-1.23
김재환,1988-09-22,2014,두산,26,C,52,96,85,12,26,6,0,3,41,13,1,0,11,0,1,12,3,0,0,0.306,0.385,0.482,0.868,0.386,127.2,0.81,-0.27
김재환,1988-09-22,2015,두산,27,1B,48,180,153,24,36,8,0,7,65,22,4,1,22,2,1,39,6,1,2,0.235,0.335,0.425,0.760,0.336,100.9,0.48,0.59
김재환,1988-09-22,2016,두산,28,LF,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,0.325,0.407,0.628,1.035,0.442,162.7,5.75,5.71
김재환,1988-09-22,2017,두산,29,LF,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,0.340,0.429,0.603,1.032,0.440,170.7,7.45,7.45
김재환,1988-09-22,2018,두산,30,LF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.438,168.8,6.94,5.80
김재환,1988-09-22,2019,두산,31,LF,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,0.283,0.363,0.435,0.798,0.362,124.0,3.56,2.53
김재환,1988-09-22,2020,두산,32,LF,140,613,515,82,137,26,1,30,255,113,6,0,91,1,3,154,14,0,6,0.266,0.374,0.495,0.869,0.385,135.0,4.68,2.33
김재환,1988-09-22,2021,두산,33,LF,137,566,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,0.401,148.2,4.77,2.69
김재환,1988-09-22,2022,두산,34,LF,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.340,0.460,0.800,0.360,130.7,3.24,0.33
김재환,1988-09-22,2023,두산,35,DH,124,458,386,39,87,14,0,10,131,45,3,1,66,5,3,99,7,0,1,0.225,0.345,0.339,0.684,0.328,101.4,0.93,1.50
피렐라,1989-11-21,2021,삼성,32,DH,140,621,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3,0.286,0.359,0.495,0.855,0.389,128.7,3.26,3.27
피렐라,1989-11-21,2022,삼성,33,LF,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.434,169.3,7.40,4.20
피렐라,1989-11-21,2023,삼성,34,LF,128,560,520,61,147,26,1,14,217,73,6,4,35,4,3,65,19,0,1,0.283,0.332,0.417,0.750,0.347,107.2,2.02,-0.79
김하성,1995-10-17,2014,넥센,19,SS,60,59,48,17,9,2,1,2,19,7,4,3,8,0,0,13,2,2,1,0.188,0.298,0.396,0.694,0.298,57.7,-0.02,-0.42
김하성,1995-10-17,2015,넥센,20,SS,140,582,511,89,148,35,5,19,250,73,22,4,56,5,2,115,10,4,6,0.290,0.362,0.489,0.851,0.372,112.9,4.94,0.99
김하성,1995-10-17,2016,넥센,21,SS,144,599,526,92,148,29,7,20,251,84,28,15,60,6,2,80,7,2,5,0.281,0.359,0.477,0.836,0.370,104.8,3.81,1.12
김하성,1995-10-17,2017,넥센,22,SS,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,0.302,0.376,0.513,0.889,0.385,125.4,4.93,3.21
김하성,1995-10-17,2018,넥센,23,SS,129,576,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5,0.288,0.358,0.474,0.832,0.360,108.5,3.56,1.01
김하성,1995-10-17,2019,키움,24,SS,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,0.307,0.389,0.491,0.880,0.397,146.2,7.22,4.52
김하성,1995-10-17,2020,키움,25,SS,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147.0,6.83,4.22
박건우,1990-09-08,2014,두산,24,RF,47,66,61,7,11,4,1,0,17,3,1,0,4,0,0,13,0,1,0,0.180,0.231,0.279,0.510,0.231,17.8,-0.36,-0.67
박건우,1990-09-08,2015,두산,25,RF,70,175,158,31,54,12,0,5,81,26,2,1,12,3,0,29,2,2,0,0.342,0.399,0.513,0.912,0.403,143.3,1.47,0.97
박건우,1990-09-08,2016,두산,26,RF,132,540,484,95,162,36,4,20,266,83,17,6,38,9,0,86,9,4,5,0.335,0.390,0.550,0.940,0.411,137.7,4.51,2.99
박건우,1990-09-08,2017,두산,27,CF,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,0.433,163.7,7.00,2.76
박건우,1990-09-08,2018,두산,28,CF,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2,0.326,0.373,0.473,0.847,0.371,117.5,3.42,3.97
박건우,1990-09-08,2019,두산,29,RF,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,0.319,0.397,0.465,0.863,0.394,144.6,4.71,0.91
박건우,1990-09-08,2020,두산,30,RF,129,551,487,103,148,40,0,14,230,70,8,2,42,12,2,65,9,3,7,0.304,0.369,0.472,0.841,0.375,126.3,3.77,1.67
박건우,1990-09-08,2021,두산,31,RF,126,525,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6,0.325,0.400,0.441,0.841,0.394,138.5,4.62,1.64
박건우,1990-09-08,2022,NC,32,CF,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.867,0.400,151.9,4.47,1.02
박건우,1990-09-08,2023,NC,33,RF,120,494,424,65,133,31,2,11,201,76,7,5,54,9,0,66,14,1,6,0.314,0.398,0.474,0.872,0.402,147.1,3.88,1.95
홍창기,1993-11-21,2016,LG,23,LF,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.200,0.000,0.200,0.155,-33.5,-0.07,-0.07
홍창기,1993-11-21,2018,LG,25,LF,12,25,18,1,3,2,0,0,5,0,0,1,7,0,0,8,0,0,0,0.167,0.400,0.278,0.678,0.339,96.1,-0.05,-0.02
홍창기,1993-11-21,2019,LG,26,CF,23,26,24,3,6,2,0,0,8,0,3,0,1,1,0,12,1,0,0,0.250,0.308,0.333,0.641,0.303,80.5,0.10,-0.03
홍창기,1993-11-21,2020,LG,27,CF,135,507,408,87,114,29,6,5,170,39,11,5,83,10,1,87,8,3,3,0.279,0.411,0.417,0.827,0.384,129.3,3.91,2.81
홍창기,1993-11-21,2021,LG,28,CF,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,0.328,0.456,0.408,0.865,0.417,152.6,6.98,4.47
홍창기,1993-11-21,2022,LG,29,RF,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.390,0.355,0.745,0.353,119.2,3.17,1.27
홍창기,1993-11-21,2023,LG,30,RF,133,614,498,107,168,34,2,1,209,65,23,22,85,22,3,81,6,3,6,0.337,0.450,0.420,0.870,0.413,155.6,5.17,4.51
노시환,2000-12-03,2019,한화,19,1B,91,192,177,19,33,8,1,1,46,13,2,2,11,2,0,72,3,1,1,0.186,0.241,0.260,0.501,0.237,36.4,-0.80,-1.52
노시환,2000-12-03,2020,한화,20,3B,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,0.220,0.298,0.387,0.685,0.310,78.6,0.84,-2.10
노시환,2000-12-03,2021,한화,21,3B,107,458,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,0.271,0.387,0.466,0.852,0.387,131.8,3.75,1.82
노시환,2000-12-03,2022,한화,22,3B,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.738,0.344,112.5,2.65,1.99
노시환,2000-12-03,2023,한화,23,3B,126,573,494,83,147,29,1,31,271,99,2,1,72,4,5,113,12,0,3,0.298,0.389,0.549,0.938,0.421,161.2,6.78,4.32
김현수,1988-01-12,2014,두산,26,LF,125,528,463,75,149,26,0,17,226,90,2,0,53,7,5,45,10,0,5,0.322,0.396,0.488,0.884,0.393,132.2,4.13,3.54
김현수,1988-01-12,2015,두산,27,LF,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,0.326,0.438,0.541,0.979,0.427,163.2,6.70,6.29
김현수,1988-01-12,2018,LG,30,LF,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,0.362,0.415,0.589,1.004,0.424,155.2,4.79,4.23
김현수,1988-01-12,2019,LG,31,LF,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,0.304,0.370,0.437,0.807,0.366,126.1,3.61,3.29
김현수,1988-01-12,2020,LG,32,LF,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,0.331,0.397,0.523,0.920,0.407,148.2,5.29,5.17
김현수,1988-01-12,2021,LG,33,LF,140,595,506,70,144,23,1,17,220,97,3,0,77,3,5,42,7,0,9,0.285,0.377,0.435,0.811,0.375,128.3,3.31,3.02
김현수,1988-01-12,2022,LG,34,LF,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,4.88,2.70
김현수,1988-01-12,2023,LG,35,DH,124,531,466,51,136,21,2,6,179,84,2,1,56,1,4,51,10,1,7,0.292,0.364,0.384,0.748,0.350,114.2,1.59,1.47
양의지,1987-06-05,2014,두산,27,C,97,338,296,40,87,23,1,10,142,46,4,3,24,9,1,34,8,5,4,0.294,0.360,0.480,0.840,0.366,113.9,2.72,1.54
양의지,1987-06-05,2015,두산,28,C,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1,5.65,3.31
양의지,1987-06-05,2016,두산,29,C,108,392,332,66,106,17,0,22,189,66,2,0,40,12,1,29,20,1,7,0.319,0.404,0.569,0.973,0.422,149.6,4.81,1.96
양의지,1987-06-05,2017,두산,30,C,111,406,347,47,96,15,0,14,153,67,1,1,43,12,1,53,17,1,3,0.277,0.373,0.441,0.814,0.364,116.7,3.02,0.77
양의지,1987-06-05,2018,두산,31,C,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.013,0.431,160.5,6.42,3.91
양의지,1987-06-05,2019,NC,32,C,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,0.354,0.438,0.574,1.012,0.452,178.2,6.61,1.88
양의지,1987-06-05,2020,NC,33,C,130,528,461,86,151,26,1,33,278,124,5,2,46,14,7,47,11,1,6,0.328,0.400,0.603,1.003,0.432,154.3,6.00,3.68
양의지,1987-06-05,2021,NC,34,DH,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,0.325,0.414,0.581,0.995,0.443,165.4,5.74,5.64
양의지,1987-06-05,2022,NC,35,C,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.380,0.480,0.861,0.386,140.3,4.61,0.76
양의지,1987-06-05,2023,두산,36,C,117,468,400,49,126,22,0,15,193,59,8,0,55,10,7,55,18,0,3,0.315,0.408,0.483,0.891,0.408,157.5,5.18,0.74
최정,1987-02-28,2014,SK,27,3B,82,361,308,65,94,20,0,14,156,76,7,2,37,12,0,69,9,1,3,0.305,0.397,0.506,0.904,0.401,131.4,3.32,3.93
최정,1987-02-28,2015,SK,28,3B,81,330,275,43,81,17,0,17,149,58,5,2,46,5,2,78,6,1,3,0.295,0.401,0.542,0.943,0.410,143.2,3.23,1.39
최정,1987-02-28,2016,SK,29,3B,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,0.288,0.403,0.580,0.983,0.425,140.7,5.82,3.24
최정,1987-02-28,2017,SK,30,3B,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,0.316,0.427,0.684,1.111,0.456,167.5,6.56,5.00
최정,1987-02-28,2018,SK,31,3B,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2,0.244,0.368,0.547,0.915,0.385,120.3,3.52,2.50
최정,1987-02-28,2019,SK,32,3B,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.411,149.3,6.36,3.85
최정,1987-02-28,2020,SK,33,3B,133,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,0.270,0.392,0.538,0.930,0.409,138.8,4.92,4.52
최정,1987-02-28,2021,SSG,34,3B,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,0.278,0.410,0.562,0.972,0.431,155.9,6.14,5.40
최정,1987-02-28,2022,SSG,35,3B,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.400,145.4,5.15,3.72
최정,1987-02-28,2023,SSG,36,3B,124,536,458,90,135,31,0,26,244,84,7,3,56,15,6,86,12,1,6,0.295,0.385,0.533,0.918,0.411,151.8,5.33,2.67
나성범,1989-10-03,2014,NC,25,CF,123,536,477,88,157,28,5,30,285,101,14,5,42,15,2,128,4,1,1,0.329,0.400,0.597,0.998,0.429,146.2,6.06,2.82
나성범,1989-10-03,2015,NC,26,RF,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,0.326,0.373,0.553,0.926,0.400,136.1,5.14,2.61
나성범,1989-10-03,2016,NC,27,RF,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,0.309,0.388,0.497,0.885,0.395,125.9,4.42,1.93
나성범,1989-10-03,2017,NC,28,RF,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,0.347,0.415,0.584,1.000,0.428,154.3,5.78,4.64
나성범,1989-10-03,2018,NC,29,RF,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,0.318,0.381,0.518,0.899,0.387,126.6,4.51,4.73
나성범,1989-10-03,2019,NC,30,CF,23,106,93,19,34,12,1,4,60,14,2,1,12,1,0,26,2,0,0,0.366,0.443,0.645,1.089,0.483,198.8,1.51,0.52
나성범,1989-10-03,2020,NC,31,DH,130,584,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,0.324,0.390,0.596,0.987,0.430,153.5,5.18,4.30
나성범,1989-10-03,2021,NC,32,RF,144,623,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4,0.281,0.336,0.509,0.844,0.380,124.1,3.91,3.13
나성범,1989-10-03,2022,KIA,33,RF,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.320,0.402,0.508,0.910,0.411,157.4,6.50,3.74
나성범,1989-10-03,2023,KIA,34,RF,58,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.485,207.7,3.67,2.26
나바로,1987-10-31,2014,삼성,27,2B,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,0.308,0.417,0.552,0.969,0.424,139.2,6.23,4.26
나바로,1987-10-31,2015,삼성,28,2B,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,0.287,0.393,0.596,0.988,0.416,143.1,6.45,3.20
강백호,1999-07-29,2018,KT,19,LF,138,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,0.290,0.356,0.524,0.879,0.375,115.3,2.10,2.81
강백호,1999-07-29,2019,KT,20,RF,117,505,438,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,0.336,0.416,0.495,0.911,0.415,156.0,4.69,3.78
강백호,1999-07-29,2020,KT,21,1B,129,574,500,95,165,36,1,23,272,89,7,2,66,5,9,93,7,0,3,0.330,0.411,0.544,0.955,0.421,149.3,4.75,3.13
강백호,1999-07-29,2021,KT,22,1B,142,627,516,76,179,40,1,16,269,102,10,5,103,0,10,85,7,0,8,0.347,0.450,0.521,0.971,0.443,165.5,6.35,5.78
강백호,1999-07-29,2022,KT,23,DH,62,264,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,0.312,88.8,0.02,0.16
강백호,1999-07-29,2023,KT,24,DH,70,266,233,32,63,10,1,8,99,39,3,0,31,0,4,53,1,0,2,0.270,0.353,0.425,0.778,0.356,115.3,0.90,-0.23
손아섭,1988-03-18,2014,롯데,26,RF,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,0.362,0.456,0.538,0.994,0.443,154.6,6.26,4.18
손아섭,1988-03-18,2015,롯데,27,RF,116,517,445,86,141,28,1,13,210,54,11,6,68,1,3,96,6,0,3,0.317,0.406,0.472,0.878,0.395,131.1,3.80,1.87
손아섭,1988-03-18,2016,롯데,28,RF,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,0.323,0.418,0.468,0.886,0.406,131.0,5.30,6.03
손아섭,1988-03-18,2017,롯데,29,RF,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,0.335,0.420,0.514,0.934,0.410,140.0,5.72,4.79
손아섭,1988-03-18,2018,롯데,30,RF,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,0.329,0.404,0.546,0.950,0.409,138.6,5.30,4.35
손아섭,1988-03-18,2019,롯데,31,RF,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,0.295,0.360,0.400,0.760,0.353,113.8,2.76,1.70
손아섭,1988-03-18,2020,롯데,32,RF,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.907,0.409,140.1,4.92,4.57
손아섭,1988-03-18,2021,롯데,33,RF,139,610,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,0.319,0.390,0.397,0.787,0.373,118.8,3.33,1.98
손아섭,1988-03-18,2022,NC,34,RF,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,0.333,105.7,2.07,1.43
손아섭,1988-03-18,2023,NC,35,DH,128,557,506,87,177,35,3,5,233,65,12,3,43,2,1,61,8,1,5,0.350,0.399,0.460,0.860,0.399,146.4,4.45,2.86
샌즈,1987-09-28,2018,넥센,31,RF,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,0.314,0.355,0.767,1.122,0.445,171.5,1.05,2.12
샌즈,1987-09-28,2019,키움,32,RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,0.421,163.6,6.21,3.45
김혜성,1999-01-27,2017,넥센,18,SS,16,17,16,1,3,2,0,0,5,2,0,0,1,0,0,6,0,0,0,0.188,0.235,0.313,0.548,0.246,28.4,-0.06,0.01
김혜성,1999-01-27,2018,넥센,19,2B,136,473,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,0.270,0.328,0.367,0.695,0.311,75.0,1.00,0.25
김혜성,1999-01-27,2019,키움,20,2B,122,387,348,57,96,17,6,0,125,32,20,3,29,2,1,85,4,4,4,0.276,0.332,0.359,0.691,0.319,88.5,1.93,0.25
김혜성,1999-01-27,2020,키움,21,2B,142,553,499,80,142,24,6,7,199,61,25,7,46,2,0,94,6,2,4,0.285,0.345,0.399,0.744,0.341,98.7,2.72,1.38
김혜성,1999-01-27,2021,키움,22,SS,144,634,559,99,170,20,3,3,205,66,46,4,64,1,3,97,8,0,10,0.304,0.371,0.367,0.737,0.351,106.2,4.73,0.99
김혜성,1999-01-27,2022,키움,23,2B,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.360,123.9,4.80,1.26
김혜성,1999-01-27,2023,키움,24,2B,134,609,546,102,183,28,6,7,244,55,25,3,55,3,3,76,6,0,5,0.335,0.396,0.447,0.843,0.392,142.1,6.09,2.30
유한준,1981-07-01,2014,넥센,33,RF,122,469,405,71,128,31,0,20,219,91,2,1,46,3,0,53,9,8,7,0.316,0.384,0.541,0.925,0.396,119.9,3.02,2.47
